"time" "V" "Vadj" "D" "rho" "H" "I" "normPW"
"2009-02-08 16:40:00" 7.7 7.74869754705652 255.2087766 1.26696829893636 69.2968607 0.103896103896104 30.8766666666667
"2009-03-21 19:50:00" 8 8.0789475756114 253.3255338 1.28040158898717 74.16519105 0.1 35.01
"2009-03-11 16:30:00" 8.2 8.26957725120372 230.6706597 1.27514673715427 72.42610395 0.0853658536585366 35.5433333333333
"2009-12-16 07:50:00" 8.4 8.4559892401466 274.7378871 1.2682568079517 71.53166592 0.0952380952380952 37.88
"2009-03-16 22:30:00" 7.9 7.96399074370605 235.8674595 1.2736871323982 69.24687147 0.0886075949367088 34.2866666666667
"2009-02-19 20:50:00" 8.6 8.68513828410668 282.3677295 1.28052085110836 87.65972138 0.0930232558139535 44.1366666666667
"2009-03-13 02:30:00" 7.5 7.54804131980818 302.4963079 1.26727483826134 82.85169363 0.12 28.08
"2009-02-08 06:20:00" 5 5.02227593710007 283.43639 1.25992151834287 77.75623322 0.1 6.69
"2009-03-29 14:20:00" 3.8 3.8231277502179 338.5218873 1.26606917848094 75.00884771 0.131578947368421 0.93
"2009-12-16 08:00:00" 8.2 8.25603411317698 273.9014243 1.268892044502 72.24043429 0.0975609756097561 36.0633333333333
"2009-02-11 15:40:00" 9 9.0702756426636 314.0847423 1.27258184469078 81.78586602 0.122222222222222 47.1666666666667
"2009-04-22 02:10:00" 6.5 6.53660998327784 308.8916928 1.26435620481375 86.68712497 0.107692307692308 18.0033333333333
"2009-03-22 19:20:00" 8.3 8.34622440372988 285.6464746 1.2641182181802 77.70366669 0.0843373493975904 38.49
"2009-03-12 23:00:00" 9 9.04367405175463 291.7050771 1.26141784623612 73.77817512 0.0777777777777778 47.31
"2009-03-12 22:50:00" 8.9 8.94252870548912 292.2967992 1.26113855860385 72.88036585 0.0898876404494382 47.6766666666667
"2009-02-08 09:30:00" 7.7 7.73548781925825 275.0198047 1.26049967980709 74.61925328 0.0909090909090909 29.91
"2009-02-08 09:40:00" 7.5 7.53479964005886 278.3490136 1.26061691532807 73.10967863 0.0933333333333333 27.6966666666667
"2009-02-08 13:30:00" 9.9 9.95958499434275 270.4796702 1.26581412683932 74.49864507 0.111111111111111 59.7233333333333
"2009-02-08 13:20:00" 9.7 9.75782388389359 270.2546545 1.26559723926087 74.77417827 0.103092783505155 56.0266666666667
"2009-02-08 13:10:00" 9.5 9.55526600588898 270.8853055 1.26505475909956 75.59898853 0.0947368421052632 53.6066666666667
"2009-02-08 11:10:00" 9 9.0441935504881 288.9774949 1.26163523884007 71.21586502 0.1 44.6666666666667
"2009-12-16 09:20:00" 8.4 8.45212139551871 283.7710124 1.26651726807004 69.45773661 0.119047619047619 38.6733333333333
"2009-02-08 11:50:00" 9.7 9.75259689753319 275.8622488 1.26356449611628 70.74970305 0.0927835051546392 55.6566666666667
"2009-03-12 22:30:00" 9.5 9.54603944219618 290.7000187 1.26139368634331 73.90612364 0.0842105263157895 53.9166666666667
"2009-02-08 17:20:00" 8.3 8.35148699276201 251.7432832 1.26651093968677 70.87031066 0.0963855421686747 36.0966666666667
"2009-12-16 09:50:00" 8.7 8.75474469327578 278.7856067 1.26684795457239 69.33435202 0.103448275862069 42.9466666666667
"2009-02-08 11:20:00" 9.1 9.14798280876655 286.8086579 1.26300083544752 71.55844569 0.0879120879120879 45.97
"2009-02-08 12:00:00" 9.6 9.65099045993241 274.0639777 1.26314659368633 71.82048917 0.09375 54.3033333333333
"2009-02-08 11:00:00" 8.4 8.44028842385541 285.800627 1.261205338424 71.9006294 0.0952380952380952 37.05
"2009-02-08 12:20:00" 9.6 9.65412857298105 281.3183937 1.26437916744038 71.7256695 0.09375 55.1266666666667
"2009-05-04 15:50:00" 9.4 9.44826442590414 238.1093361 1.26247955102067 73.6109519 0.0851063829787234 46.6933333333333
"2009-02-08 13:50:00" 10.4 10.4639303673245 279.1320606 1.26629910638056 74.86582279 0.0961538461538461 65.5266666666667
"2009-03-22 19:10:00" 8.7 8.75148369718387 275.9679149 1.26543284273298 79.18586731 0.0919540229885058 45.7866666666667
"2009-03-09 18:50:00" 10.2 10.2313575549485 259.2694775 1.25473226756018 70.62691391 0.0980392156862745 63.85
"2009-03-09 23:00:00" 9.9 9.93346663880957 257.099005 1.25588167715592 70.46821952 0.0909090909090909 60.2466666666667
"2009-02-09 08:10:00" 9.6 9.64888871070315 221.7931972 1.26232152626599 96.43350363 0.104166666666667 56.3766666666667
"2009-02-26 19:30:00" 11.8 11.8856569644974 267.6483041 1.2705019878681 97.40490794 0.11864406779661 88.2266666666667
"2009-02-25 23:30:00" 11.9 11.9887190959435 257.7010293 1.27124502028719 90.17382622 0.109243697478992 86.2133333333333
"2009-02-26 19:00:00" 12.4 12.482776034538 267.7660603 1.26829498556777 89.8570323 0.120967741935484 91.4
"2009-02-26 00:10:00" 10.6 10.6786149015742 265.8023417 1.27109782227894 89.53686953 0.0943396226415094 69.7766666666667
"2009-02-27 03:30:00" 10.7 10.768699464644 278.0064475 1.26733150882316 88.44406605 0.102803738317757 70.59
"2009-02-27 01:20:00" 12.5 12.580536229385 290.2834332 1.26741608536312 86.51236296 0.104 91.01
"2009-02-27 02:00:00" 11.8 11.8741503490991 294.1824802 1.2668156045107 85.69390059 0.101694915254237 86.39
"2009-02-27 02:20:00" 11.3 11.3726639713783 290.4649525 1.26736901923993 86.02239728 0.0973451327433628 77.9066666666667
"2009-03-22 19:50:00" 11.3 11.3693537746995 292.158095 1.26626267693833 82.07706928 0.106194690265487 79.21
"2009-02-23 03:50:00" 11 11.0829341769472 305.2548548 1.27156334947752 83.64476681 0.1 76.14
"2009-03-22 19:40:00" 10.4 10.4656132276832 291.4804061 1.26691016185315 83.14468026 0.115384615384615 67.4833333333333
"2009-02-27 02:50:00" 10.9 10.970290649181 278.8953497 1.26743794091191 87.36038446 0.091743119266055 73.0866666666667
"2009-02-27 02:30:00" 11.1 11.1705926242631 284.8745254 1.26710178010121 86.6012311 0.0900900900900901 75.3333333333333
"2009-01-02 11:20:00" 9.8 9.95730223733637 65.0073781 1.30406319299786 83.06414485 0.102040816326531 60.3566666666667
"2009-02-25 23:50:00" 11.4 11.4829008645397 263.4440767 1.27055095724631 89.10621524 0.105263157894737 78.4733333333333
"2009-03-22 16:40:00" 9.9 9.97992247610202 277.6800129 1.27358435291932 87.41592765 0.0909090909090909 61.6866666666667
"2009-02-11 12:10:00" 9.4 9.47451878146211 287.4147875 1.27303316407501 88.45477581 0.0957446808510638 53.35
"2009-02-21 22:30:00" 12.2 12.3014377638703 281.5933668 1.27450024896787 87.2502923 0.0983606557377049 86.03
"2009-03-22 17:00:00" 9.6 9.67586153441747 276.276407 1.27293735333346 86.95016265 0.09375 58.5733333333333
"2009-02-11 05:50:00" 9 9.06983460271243 281.9643673 1.27239621676741 84.36126828 0.0888888888888889 48.79
"2009-02-11 06:00:00" 8.6 8.66686162495954 284.1385845 1.27245381962966 85.22178769 0.0930232558139535 42.9166666666667
"2009-03-13 04:00:00" 7.4 7.44911134836303 308.2425622 1.26814827277564 84.44279909 0.0810810810810811 25.75
"2009-02-27 05:00:00" 8.9 8.95701501443733 262.6962217 1.26727737716714 89.93082523 0.0898876404494382 46.0766666666667
"2009-02-11 06:20:00" 8.4 8.46541897247473 285.4861183 1.27250444710853 83.23295474 0.0833333333333333 37.2266666666667
"2009-03-13 03:10:00" 7.3 7.34816774513978 302.1569111 1.26800334940063 84.4576776 0.0821917808219178 25.0866666666667
"2009-03-13 06:10:00" 6.7 6.74784480371146 296.7232281 1.27005533722132 85.13728261 0.0895522388059701 20.0733333333333
"2009-02-11 10:00:00" 9.9 9.98216937012019 275.7540643 1.27444475641028 87.28242278 0.0909090909090909 57.2166666666667
"2009-02-11 11:00:00" 8.9 8.97406568232469 278.9299394 1.2745283703225 88.35896373 0.0898876404494382 45.4033333333333
"2009-03-22 17:50:00" 9.7 9.76836151926628 285.1957883 1.26970188690995 83.35475326 0.0824742268041237 59.7833333333333
"2009-02-11 06:10:00" 8.9 8.96856011845408 287.4861593 1.27218405051195 83.46702933 0.0898876404494382 45.3666666666667
"2009-02-27 04:40:00" 9.3 9.35935254788984 268.8653552 1.26718600977675 90.07742286 0.0860215053763441 53.57
"2009-02-11 13:50:00" 9.4 9.47692185725769 294.7516381 1.27400206959118 89.75209832 0.0851063829787234 52.9733333333333
"2009-03-22 16:20:00" 10 10.0847753910466 277.572201 1.27511832008696 87.88883328 0.09 62.5966666666667
"2009-03-22 16:10:00" 9.7 9.78232922285114 278.2966122 1.27515628902094 87.43973017 0.0824742268041237 58.2233333333333
"2009-03-22 17:20:00" 10 10.0759282616709 278.787696 1.27176537194408 86.52525783 0.08 63.8366666666667
"2009-02-21 22:40:00" 11.2 11.2954619306699 282.3720228 1.27529223687386 87.6192534 0.0892857142857143 75.1933333333333
"2009-03-22 15:50:00" 10.1 10.1882322349573 277.4332154 1.27609845179293 87.48178482 0.0891089108910891 64.35
"2009-02-27 05:10:00" 9.1 9.15854534626301 265.4852754 1.267380785616 90.76575518 0.0879120879120879 49.25
"2009-03-22 16:50:00" 9.7 9.77821324584631 276.9207736 1.27354737590591 87.43199348 0.0927835051546392 58.4333333333333
"2009-03-13 03:30:00" 7.3 7.34887884495182 308.2387107 1.26837150819951 85.07796645 0.0821917808219178 26.04
"2009-03-13 05:50:00" 7 7.04884862964353 292.2637379 1.26944014568013 84.42038059 0.0714285714285714 21.56
"2009-03-13 06:00:00" 6.8 6.84857511358665 292.841844 1.27006435467516 85.47629118 0.0735294117647059 19.38
"2009-03-22 15:10:00" 9.3 9.38580617681817 285.9107114 1.27796127585229 88.60374928 0.0860215053763441 53.7133333333333
