"time" "V" "Vadj" "D" "rho" "I" "S" "normPW"
"2010-11-13 12:30:00" 12 11.9465303530389 174.8 1.18442364901453 0.075 0.159326280917214 93.2242424242424
"2010-10-24 13:10:00" 11.2 11.1074226569713 171.8 1.1708769629387 0.0482142857142857 0.222308386972885 85.9878787878788
"2010-11-13 09:50:00" 11.7 11.6334004306436 150.7 1.18001596153112 0.0512820512820513 0.247549909317583 92
"2010-10-24 13:20:00" 11.6 11.5065491584838 173.9 1.17161995432753 0.0405172413793103 0.320004975859148 89.9212121212121
"2010-12-31 23:30:00" 13 12.9092240511786 163.3 1.17542735664313 0.0384615384615385 0.330620382791247 101.478787878788
"2010-11-13 12:40:00" 11.9 11.8496100221177 170.8 1.1852138685657 0.0336134453781513 0.297159737512961 95.1212121212121
"2010-12-31 16:50:00" 11.2 11.1449604374275 160.3 1.18278814023941 0.0419642857142857 0.28181212388497 89.6363636363636
"2010-11-13 10:30:00" 12.4 12.3320638415879 148.3 1.18077642434081 0.0564516129032258 0.268663574478706 98.3272727272727
"2010-11-30 03:10:00" 10.9 10.8544676361424 155.5 1.18541802372185 0.0944954128440367 0.295985475046646 80.8242424242424
"2010-11-13 06:40:00" 12.4 12.3257664568212 146.2 1.17896845275396 0.0467741935483871 0.305839840819844 97.4242424242424
"2010-11-30 03:00:00" 13.1 13.0445736386704 147.1 1.18522612336989 0.0801526717557252 0.246647846738672 100.345454545455
"2010-12-31 22:00:00" 13.1 12.9987450999475 165.3 1.17277805621581 0.0679389312977099 0.303002114387035 101.424242424242
"2010-11-13 11:40:00" 13 12.9282702273798 162.9 1.18063768754419 0.0576923076923077 0.371065555029316 101.206060606061
"2010-12-31 19:40:00" 14.8 14.6954778548221 168.8 1.17514492005364 0.0628378378378378 0.283449318153146 101.448484848485
"2010-12-31 02:30:00" 15.3 15.2479143124252 174.7 1.18818063925466 0.0771241830065359 0.229764089759351 101.49696969697
"2010-11-21 21:20:00" 13.6 13.5240074332793 169.4 1.18038834602563 0.100735294117647 0.248776277828196 101.381818181818
"2010-11-21 21:50:00" 14.5 14.4087916232941 168.8 1.17788830904065 0.096551724137931 0.237737734060455 101.460606060606
"2010-12-31 02:20:00" 15.6 15.5460536402875 173.9 1.18798819833215 0.0647435897435897 0.241642004963807 101.527272727273
"2010-11-22 13:10:00" 14.4 14.2744899005398 183.4 1.16928331471026 0.113194444444444 0.256651363103302 101.387878787879
"2010-11-21 22:10:00" 14.3 14.2085566227998 166.9 1.1775170665844 0.0923076923076923 0.192830470381304 101.490909090909
"2010-12-31 23:40:00" 13.3 13.2108670878145 164.7 1.17642564333986 0.0481203007518797 0.320349599261541 101.472727272727
"2010-12-31 22:40:00" 12.8 12.7050612406628 167 1.17388570799995 0.05234375 0.367243153767835 101.042424242424
"2010-12-31 23:20:00" 13 12.9097259886798 165.2 1.17556447116099 0.0423076923076923 0.3303137615375 101.284848484848
"2010-12-31 22:30:00" 13 12.9022367351158 167.1 1.17351973514038 0.0430769230769231 0.343292794061607 101.50303030303
"2010-11-13 13:20:00" 12.1 12.0562443352084 169.9 1.18742297484333 0.0388429752066116 0.278280347904435 98.1393939393939
"2010-10-23 12:20:00" 14.2 14.0741681044596 183 1.16876878649151 0.0704225352112676 0.287629264543545 101.448484848485
"2010-11-22 06:30:00" 13.5 13.3875882066632 192.4 1.17066104272012 0.144444444444444 0.284653489082919 100.90303030303
"2010-10-28 06:40:00" 12.6 12.6507144299886 271 1.21495154436619 0.108730158730159 0.211335970740007 99.9939393939394
"2010-10-28 09:10:00" 12.5 12.5647278748322 277.3 1.21914302462775 0.1168 0.162904186308164 100.206060606061
"2010-11-14 02:40:00" 11 11.0600564134096 249.7 1.22016736989541 0.0936363636363636 0.188319328157119 86.1030303030303
"2010-11-14 02:00:00" 12.8 12.8697287825288 246.5 1.22012327221731 0.109375 0.21913384010815 100.769696969697
"2010-11-14 00:50:00" 11.1 11.1561941990357 241.3 1.21872212657072 0.118018018018018 0.124833352557563 85.0787878787879
"2010-10-28 11:10:00" 11.4 11.4688715647121 275.8 1.22228631576026 0.163157894736842 0.189732476792494 91.2242424242424
"2010-11-14 04:30:00" 12.4 12.4772089686092 252 1.22296133444017 0.101612903225806 0.13466123254703 99.5818181818182
"2010-11-14 07:20:00" 8.8 8.85697874722189 247.6 1.22386700641832 0.125 0.176031086805579 50.6787878787879
"2010-11-14 05:00:00" 10.5 10.5676191439573 256.2 1.2237395534313 0.167619047619048 0.126961987184456 80.6545454545455
"2010-11-27 00:40:00" 10.5 10.5808600644063 270.5 1.22834524997675 0.114285714285714 0.152610664065274 79.7818181818182
"2010-11-14 14:50:00" 8 8.07034893608376 237.8 1.23234529891423 0.155 0.0727485393204739 39.4787878787879
"2010-11-14 07:00:00" 9.9 9.9644268157716 256.3 1.22398703449372 0.231313131313131 0.117723895060065 69.8181818181818
"2010-11-30 14:10:00" 12.4 12.5129074042683 247.5 1.23348840857732 0.125 0.103245873960262 98.4060606060606
"2010-11-30 13:10:00" 13.1 13.2038042690955 251.5 1.22916102863947 0.0938931297709924 0.155219307690178 101.393939393939
"2010-11-14 04:20:00" 13 13.0794126054297 247.6 1.22253161756142 0.0907692307692308 0.133661903850699 101.309090909091
"2010-11-14 05:20:00" 12.2 12.2790321296884 253.6 1.22387862811311 0.105737704918033 0.114458515351297 99.1818181818182
"2010-11-26 21:30:00" 10.5 10.5846436002994 232.7 1.22966342743353 0.08 0.157968311771066 76.6181818181818
